,CustomerID,AverageBuyoutPrice,PurchaseCount
0,17850.0,5288.630000000008,1693
1,13047.0,3079.0999999999995,1355
2,12583.0,7187.339999999996,5009
3,13748.0,948.2500000000001,439
4,15100.0,635.0999999999999,58
5,15291.0,4596.509999999999,2074
6,14688.0,5107.3799999999965,3222
7,17809.0,4627.619999999999,2015
8,15311.0,59419.34000000003,37720
9,14527.0,7711.379999999953,2049
10,16098.0,2005.63,613
11,18074.0,489.6,190
12,17420.0,598.83,265
13,16029.0,50992.61000000001,32148
14,16250.0,389.44,208
15,12431.0,6416.390000000001,2868
16,17511.0,88125.37999999999,63012
17,17548.0,-141.47999999999996,-132
18,13705.0,711.8600000000001,363
19,13747.0,79.6,8
20,13408.0,27487.41,16119
21,13767.0,16945.710000000014,7258
22,17924.0,2894.3300000000004,1141
23,13448.0,3465.6700000000023,1638
24,15862.0,832.88,585
25,15513.0,14520.080000000002,5545
26,12791.0,192.60000000000002,97
27,16218.0,3054.869999999999,2077
28,14045.0,1659.7499999999998,535
29,14307.0,2995.719999999998,2058
30,17908.0,243.27999999999986,173
31,17920.0,4204.09999999999,2516
32,12838.0,683.1300000000002,359
33,13255.0,390.66,174
34,16583.0,233.45000000000002,111
35,18085.0,689.9500000000002,265
36,13758.0,3190.5500000000006,1844
37,13694.0,62653.10000000005,61803
38,15983.0,1475.0199999999995,892
39,14849.0,7904.279999999993,5656
40,17968.0,277.34999999999997,160
41,16210.0,21086.300000000003,7559
42,17897.0,541.1,223
43,17377.0,3925.9199999999964,2075
44,16552.0,379.73,219
45,17181.0,239.91999999999996,241
46,17951.0,990.8400000000003,610
47,14729.0,313.4899999999999,197
48,12748.0,29072.100000000468,24210
49,15012.0,423.03999999999974,231
50,12868.0,1607.0600000000002,928
51,17572.0,226.75,95
52,14078.0,1049.3700000000001,310
53,14001.0,2030.33,959
54,12662.0,3817.0799999999986,2040
55,15525.0,811.0200000000004,414
56,14237.0,161.00000000000003,38
57,17905.0,800.2400000000005,407
58,15485.0,2574.9999999999995,1306
59,12433.0,13375.87,11071
60,16955.0,493.67,246
61,15350.0,115.65,51
62,15605.0,1198.23,441
63,18144.0,2888.75,1343
64,15922.0,363.6000000000001,136
65,14594.0,379.8299999999999,185
66,15165.0,487.74999999999994,160
67,14911.0,132572.61999999956,77180
68,16456.0,2158.3700000000003,1148
69,17841.0,40340.78000000005,22865
70,12472.0,6229.479999999999,4020
71,17346.0,2611.5800000000004,1639
72,17643.0,101.55000000000001,71
73,17873.0,1764.3600000000004,999
74,13093.0,7741.469999999998,3943
75,12921.0,16389.74000000003,9454
76,13468.0,5656.749999999995,2581
77,17760.0,287.59,239
78,16928.0,2781.5,2094
79,16048.0,243.69000000000003,143
80,16274.0,357.94999999999993,155
81,14496.0,538.8100000000001,159
82,14696.0,2070.97,1626
83,16539.0,1388.8100000000006,477
84,17025.0,357.77000000000004,235
85,13777.0,25748.349999999988,12804
86,17690.0,4748.45,1767
87,12947.0,1407.29,1157
88,17460.0,452.63000000000005,176
89,18229.0,7276.900000000004,2488
90,14142.0,311.81,313
91,17069.0,2655.220000000001,1482
92,13065.0,205.85999999999999,74
93,14606.0,11713.850000000055,5978
94,16835.0,180.85,61
95,15235.0,2247.510000000001,1324
96,13576.0,6703.300000000002,2640
97,18011.0,102.78999999999999,71
98,13090.0,8689.390000000001,2194
99,15694.0,6423.599999999998,1665
100,14741.0,1400.3400000000001,841
101,13715.0,1053.94,555
102,14092.0,4063.1000000000013,2061
103,17732.0,303.97,93
104,12855.0,38.1,30
105,15752.0,2628.930000000002,1973
106,17855.0,208.97,197
107,14047.0,1290.01,377
108,17925.0,244.08,72
109,13941.0,4912.410000000001,2307
110,17017.0,8574.110000000008,6613
111,14135.0,4690.309999999999,3850
112,13108.0,350.05999999999995,298
113,12471.0,18740.919999999973,7965
114,15601.0,6745.359999999998,4978
115,13418.0,5845.440000000002,3839
116,14766.0,2423.07,1323
117,15658.0,958.8999999999997,232
118,14388.0,3172.040000000001,1933
119,14901.0,1414.99,659
120,18041.0,4161.1399999999985,3810
121,15955.0,4389.81,2124
122,15070.0,106.2,36
123,16244.0,1522.7500000000005,855
124,15111.0,1567.4800000000005,710
125,14390.0,4592.470000000002,2125
126,16546.0,-95.93000000000006,-303
127,15260.0,1780.7700000000013,861
128,13305.0,2000.8599999999994,1232
129,14491.0,340.93,139
130,14060.0,6135.379999999996,5374
131,15923.0,127.08000000000001,122
132,16752.0,207.5,54
